Algorithm,MSE,SNR_dB,SupportOverlap,NNZ
OMP,0.0016267801300602872,12.55312893412616,11,12
GOMP,4.608773349233e-05,28.030564017179064,12,12
CoSaMP,0.00013768259218353143,23.277627186214303,12,12
SP,4.608773349232957e-05,28.030564017179103,12,12
IHT,1868639028.0889142,-108.04883662624455,0,12
HTP,4.6087733492330073e-05,28.030564017179053,12,12
GP,1636.1588870997548,-47.47183723058055,0,12
MP,0.007129751631759005,6.135673513219051,10,36
