case,m,n,k,omp,cosamp,iht,htp,sp,gp,gomp,mp,total_valid_cycles
0,64,256,16,103035,skip,98938,165070,skip,99754,56512,55665,578974
1,64,256,8,42545,141920,44867,59711,122952,45275,23940,28745,509955
2,64,256,4,20507,50490,22230,27539,37809,22434,11973,15285,208267
3,32,128,8,16913,92521,18545,27524,77026,18825,10097,9513,270964
4,32,128,4,7627,27995,8909,11458,17932,9049,4799,5221,92990
5,32,128,2,4131,8426,4721,5916,6741,4791,2780,3075,40581
6,16,64,4,3491,19655,4173,5727,11078,4281,2365,2109,52879
7,16,64,2,1839,4642,2159,2810,3393,2213,1339,1295,19690
