case,m,n,k,omp,cosamp,iht,htp,sp,gp,gomp,mp,total_valid_cycles
0,64,256,16,103010,skip,97914,165354,skip,98730,56540,54641,576189
1,64,256,8,42212,143376,44355,59365,124009,44763,23786,28233,510099
2,64,256,4,20292,50477,21974,27315,37499,22178,11870,15029,206634
3,32,128,8,16836,94489,18289,27434,78595,18569,10071,9257,273540
4,32,128,4,7540,28247,8781,11362,17878,8921,4760,5093,92582
5,32,128,2,4079,8361,4657,5863,6644,4727,2756,3011,40098
6,16,64,4,3468,20035,4109,5695,11152,4217,2358,2045,53079
7,16,64,2,1819,4641,2127,2789,3360,2181,1331,1263,19511
