case,m,n,k,omp,cosamp,iht,htp,sp,gp,gomp,mp,total_valid_cycles
0,64,256,16,104034,skip,98938,166378,skip,99754,57052,55665,581821
1,64,256,8,42724,144400,44867,59877,125033,45275,24042,28745,514963
2,64,256,4,20548,50989,22230,27571,38011,22434,11998,15285,209066
3,32,128,8,17092,95001,18545,27690,79107,18825,10199,9513,275972
4,32,128,4,7668,28503,8909,11490,18134,9049,4824,5221,93798
5,32,128,2,4143,8489,4721,5927,6772,4791,2788,3075,40706
6,16,64,4,3532,20163,4173,5759,11280,4281,2390,2109,53687
7,16,64,2,1851,4705,2159,2821,3424,2213,1347,1295,19815
