case,m,n,k,omp,cosamp,iht,htp,sp,gp,gomp,mp,total_valid_cycles
0,64,256,16,103354,skip,98938,165498,skip,99754,56680,55665,579889
1,64,256,8,42640,142504,44867,59809,123459,45275,23992,28745,511291
2,64,256,4,20538,50655,22230,27565,37909,22434,11991,15285,208607
3,32,128,8,17008,93105,18545,27622,77533,18825,10149,9513,272300
4,32,128,4,7658,28163,8909,11484,18032,9049,4817,5221,93333
5,32,128,2,4142,8466,4721,5926,6765,4791,2787,3075,40673
6,16,64,4,3522,19823,4173,5753,11178,4281,2383,2109,53222
7,16,64,2,1850,4682,2159,2820,3417,2213,1346,1295,19782
