case,m,n,k,omp,cosamp,iht,htp,sp,gp,gomp,mp,total_valid_cycles
0,64,256,16,103035,skip,85498,151630,skip,86314,56512,55665,538654
1,64,256,8,42545,141920,38147,52991,122952,38555,23940,28745,489795
2,64,256,4,20507,50490,18870,24179,37809,19074,11973,15285,198187
3,32,128,8,16913,92521,15153,24132,77026,15433,10097,9513,260788
4,32,128,4,7627,27995,7213,9762,17932,7353,4799,5221,87902
5,32,128,2,4131,8426,3873,5068,6741,3943,2780,3075,38037
6,16,64,4,3491,19655,3309,4863,11078,3417,2365,2109,50287
7,16,64,2,1839,4642,1727,2378,3393,1781,1339,1295,18394
