case,m,n,k,omp,cosamp,iht,htp,sp,gp,gomp,mp,total_valid_cycles
0,64,256,16,103035,skip,80890,147022,skip,81706,56512,55665,524830
1,64,256,8,42545,141920,35843,50687,122952,36251,23940,28745,482883
2,64,256,4,20507,50490,17718,23027,37809,17922,11973,15285,194731
3,32,128,8,16913,92521,14001,22980,77026,14281,10097,9513,257332
4,32,128,4,7627,27995,6637,9186,17932,6777,4799,5221,86174
5,32,128,2,4131,8426,3585,4780,6741,3655,2780,3075,37173
6,16,64,4,3491,19655,3021,4575,11078,3129,2365,2109,49423
7,16,64,2,1839,4642,1583,2234,3393,1637,1339,1295,17962
