case,m,n,k,omp,cosamp,iht,htp,sp,gp,gomp,mp,total_valid_cycles
0,64,256,16,111620,skip,97914,176810,skip,98730,61300,54641,601015
1,64,256,8,42926,167568,44355,60005,144377,44763,24230,28233,556457
2,64,256,4,20322,54307,21974,27341,38459,22178,11896,15029,211506
3,32,128,8,17550,118681,18289,28074,98963,18569,10515,9257,319898
4,32,128,4,7570,32103,8781,11388,18838,8921,4786,5093,97480
5,32,128,2,4079,8511,4657,5863,6670,4727,2756,3011,40274
6,16,64,4,3498,23891,4109,5721,12112,4217,2384,2045,57977
7,16,64,2,1819,4791,2127,2789,3386,2181,1331,1263,19687
