case,m,n,k,omp,cosamp,iht,htp,sp,gp,gomp,mp,total_valid_cycles
0,64,256,16,116233,skip,105082,183978,skip,105898,63610,56689,631490
1,64,256,8,43955,172272,45379,61029,148749,45787,24748,29257,571176
2,64,256,4,20839,56302,22486,27853,39511,22690,12158,15541,217380
3,32,128,8,18067,121081,18801,28586,101191,19081,10777,9769,327353
4,32,128,4,7831,33129,9037,11644,19374,9177,4920,5349,100461
5,32,128,2,4212,8779,4785,5991,6932,4855,2820,3139,41513
6,16,64,4,3631,24413,4237,5849,12386,4345,2454,2173,59488
7,16,64,2,1888,4931,2191,2853,3520,2245,1363,1327,20318
