algorithm,iter,fixed_support_len,float_support_len,support_overlap,support_jaccard,x_mse_fixed_vs_float,x_nmse_fixed_vs_float,r_mse_fixed_vs_float,r_nmse_fixed_vs_float,fixed_res_norm,float_res_norm
SP,7,16,16,4,0.14285714285714285,0.0887619765535419,1.2450995067236563,0.40337927811197005,9.367933283002658e+30,5.080971737686216,1.6600642028017157e-15
SP,8,16,16,4,0.14285714285714285,0.08876197655354189,1.245099506723656,0.40337927811197,1.2800396996417591e+31,5.080971737686216,1.4201527515596038e-15
SP,9,16,16,4,0.14285714285714285,0.0887619765535419,1.2450995067236563,0.40337927811197005,9.367933283002658e+30,5.080971737686216,1.6600642028017157e-15
SP,10,16,16,4,0.14285714285714285,0.08876197655354189,1.245099506723656,0.40337927811197,1.2800396996417591e+31,5.080971737686216,1.4201527515596038e-15
SP,11,16,16,4,0.14285714285714285,0.0887619765535419,1.2450995067236563,0.40337927811197005,9.367933283002658e+30,5.080971737686216,1.6600642028017157e-15
SP,12,16,16,4,0.14285714285714285,0.08876197655354189,1.245099506723656,0.40337927811197,1.2800396996417591e+31,5.080971737686216,1.4201527515596038e-15
SP,13,16,16,4,0.14285714285714285,0.0887619765535419,1.2450995067236563,0.40337927811197005,9.367933283002658e+30,5.080971737686216,1.6600642028017157e-15
SP,14,16,16,4,0.14285714285714285,0.08876197655354189,1.245099506723656,0.40337927811197,1.2800396996417591e+31,5.080971737686216,1.4201527515596038e-15
SP,15,16,16,4,0.14285714285714285,0.0887619765535419,1.2450995067236563,0.40337927811197005,9.367933283002658e+30,5.080971737686216,1.6600642028017157e-15
IHT,0,16,16,16,1.0,0.0,0.0,0.0,0.0,15.852389355898865,15.852389355898865
IHT,1,16,16,16,1.0,0.0,0.0,0.0,0.0,38.68645370113121,38.68645370113121
IHT,2,16,16,16,1.0,0.0,0.0,2.7284841053187847e-11,1.8780957700676838e-13,96.42548992320219,96.42548540930045
IHT,3,16,16,16,1.0,5.574207762037986e-12,3.115617939321198e-13,1.170903374259069e-10,1.0699681443705371e-13,264.6458135532025,264.645852299193
IHT,4,16,16,2,0.06666666666666667,185.46264836936405,1.286880353037793,4435.8208106017755,0.5166531940019642,364.2060832080031,741.2717079087829
IHT,5,16,16,3,0.10344827586206896,1070.5440983748995,0.9612313826137314,55343.595465734325,0.811371139110926,387.50614914475875,2089.3629744298805
IHT,6,16,16,5,0.18518518518518517,8544.48136213256,0.9555713538093484,496321.4618461699,0.9205537797333768,384.9896305421745,5874.175693130216
IHT,7,16,16,3,0.10344827586206896,70653.74500475096,0.9887523735879804,4214319.514587453,0.9728908644620097,369.2980038194087,16650.2843197229
IHT,8,16,16,5,0.18518518518518517,575182.3231627179,0.9937553410427662,34847436.57662912,0.9894270044725824,367.9742051081842,47477.02806448807
IHT,9,16,16,4,0.14285714285714285,4728615.467323755,0.9981691976109012,288377221.6292103,0.9967758249235414,371.96910573997945,136072.9234481108
IHT,10,16,16,2,0.06666666666666667,39254516.345796,0.9996698334261455,2411289142.874017,0.9991215208316968,357.352788746639,393011.6963262747
IHT,11,16,16,4,0.14285714285714285,326311497.2830133,0.9997709681651495,19973866950.438744,0.9996171995082803,358.18572783543453,1130847.9193113712
IHT,12,16,16,2,0.06666666666666667,2713156183.95983,0.9999600541870957,166771829135.01492,0.9998942877706835,363.88599261994136,3267189.2342696753
IHT,13,16,16,4,0.14285714285714285,22554658457.222775,0.9999723942069796,1380822339820.8003,0.9999539173510438,358.18572783543453,9400888.382545713
IHT,14,16,16,2,0.06666666666666667,187501393232.341,0.9999951920630049,11526065460301.965,0.9999872812756541,363.88599261994136,27160220.392644413
IHT,15,16,16,4,0.14285714285714285,1558700724394.1724,0.9999966786741723,95427086650245.81,0.999994456272782,358.18572783543453,78149647.4924528
HTP,0,16,16,16,1.0,9.018995927902222e-12,1.7672675613122536e-10,1.2009827119529346e-10,6.391334427627701e-10,3.467870010652314,3.467868281974518
HTP,1,16,16,16,1.0,3.2694868903369186e-11,5.173778743125153e-10,3.6628125590089125e-10,8.442609498803393e-09,1.6663265706737873,1.6663222112128921
HTP,2,16,16,16,1.0,5.093170329933692e-11,7.144392353222055e-10,3.7834979593647936e-10,4.382608938914166e+21,0.0001556097263669673,2.3505547907798496e-15
HTP,3,16,16,16,1.0,5.093170329878767e-11,7.144392353145011e-10,3.7834979593534777e-10,6.705508546090323e+21,0.0001556097263669673,1.900294357652537e-15
HTP,4,16,16,16,1.0,5.0931703299376626e-11,7.144392353227625e-10,3.7834979593997337e-10,8.844139366961921e+21,0.0001556097263669673,1.6546606929944563e-15
HTP,5,16,16,16,1.0,5.093170329944942e-11,7.144392353237836e-10,3.783497959386565e-10,1.593110558037165e+22,0.0001556097263669673,1.232860053741059e-15
HTP,6,16,16,16,1.0,5.0931703299376626e-11,7.144392353227625e-10,3.783497959389146e-10,1.2121894064826343e+22,0.0001556097263669673,1.4133557720257279e-15
HTP,7,16,16,16,1.0,5.093170329944942e-11,7.144392353237836e-10,3.783497959399535e-10,6.894510048295902e+21,0.0001556097263669673,1.8740666601229967e-15
HTP,8,16,16,16,1.0,5.0931703299581766e-11,7.144392353256401e-10,3.7834979594084687e-10,9.193352240495828e+21,0.0001556097263669673,1.622930002170144e-15
HTP,9,16,16,16,1.0,5.093170329947589e-11,7.144392353241549e-10,3.7834979593929177e-10,7.324688915846442e+21,0.0001556097263669673,1.818202065101866e-15
HTP,10,16,16,16,1.0,5.093170329892664e-11,7.144392353164504e-10,3.783497959358176e-10,8.297801296155602e+21,0.0001556097263669673,1.7082649243415202e-15
HTP,11,16,16,16,1.0,5.093170329946927e-11,7.144392353240622e-10,3.7834979594026453e-10,5.883951948747072e+21,0.0001556097263669673,2.028626901420428e-15
HTP,12,16,16,16,1.0,5.093170329894649e-11,7.144392353167289e-10,3.783497959353279e-10,6.273866528901545e+21,0.0001556097263669673,1.9645772086003696e-15
HTP,13,16,16,16,1.0,5.093170329915163e-11,7.144392353196064e-10,3.783497959369161e-10,1.570818156418225e+22,0.0001556097263669673,1.2415773546128906e-15
HTP,14,16,16,16,1.0,5.093170330017072e-11,7.144392353339016e-10,3.7834979594291813e-10,4.7202389713811847e+21,0.0001556097263669673,2.2649298002079098e-15
HTP,15,16,16,16,1.0,5.0931703299482505e-11,7.144392353242477e-10,3.783497959398278e-10,8.22721405841397e+21,0.0001556097263669673,1.7155774949015196e-15
GP,0,16,16,16,1.0,0.08211712152192706,1.6090807253285118,3.738627154217043,19.89605362757926,15.852389355898865,3.467868281974518
GP,1,16,16,2,0.06666666666666667,0.4215249775167819,8.546490008441374,18.90293504577449,20.906371617906295,38.68645370113121,7.607032558618644
GP,2,16,16,8,0.3333333333333333,2.7661674792316377,64.34236012877975,145.4300893221851,293.3953402127675,96.42548992320219,5.632361438093277
GP,3,16,16,0,0.0,17.92050703986856,610.9204057281278,1058.0739862143441,1109.1922912489824,264.6458135532025,7.813481427183831
GP,4,16,16,2,0.06666666666666667,62.55212345884969,1394.3623713708864,2075.2755120098554,4338.303294837523,364.2060832080031,5.533092267653852
GP,5,16,16,0,0.0,64.02996563797464,2136.779657157736,2321.6948685427424,2359.1432168517986,387.50614914475875,7.936251177282328
GP,6,16,16,3,0.10344827586206896,63.94777693037249,1401.6444770099727,2322.047976867664,4878.9390274579055,384.9896305421745,5.519031666893655
GP,7,16,16,0,0.0,64.02728570901556,2346.5501912561717,2119.2984644773655,2116.064915842553,369.2980038194087,8.00611004749618
GP,8,16,16,3,0.10344827586206896,63.57342451591575,1427.7471237683915,2122.4881395771126,4423.634584216696,367.9742051081842,5.541444662376641
GP,9,16,16,0,0.0,64.0296273577486,2161.16563282788,2154.881189195797,2193.838547050541,371.96910573997945,7.928651343552097
GP,10,16,16,0,0.0,64.04450749469153,1438.9600659073328,1998.5539313433603,4206.826808263013,357.352788746639,5.514048817386883
GP,11,16,16,0,0.0,64.03188212555516,2008.394390605115,1997.613478434945,2063.5058960370543,358.18572783543453,7.871234656930757
GP,12,16,16,0,0.0,64.04450749469153,1438.9600659073328,2074.0238214693927,4365.686047445743,363.88599261994136,5.514048817386883
GP,13,16,16,0,0.0,64.03188212555516,2008.394390605115,1997.613478434945,2063.5058960370543,358.18572783543453,7.871234656930757
GP,14,16,16,0,0.0,64.04450749469153,1438.9600659073328,2074.0238214693927,4365.686047445743,363.88599261994136,5.514048817386883
GP,15,16,16,0,0.0,64.03188212555516,2008.394390605115,1997.613478434945,2063.5058960370543,358.18572783543453,7.871234656930757
MP,0,1,1,1,1.0,0.0,0.0,0.0,0.0,8.232447592264101,8.232447592264101
MP,1,2,2,2,1.0,0.00014365568677021656,0.0029691095426618843,0.0022583558784390334,0.002808081839487852,7.164240270711159,7.174329134185266
MP,2,3,3,3,1.0,0.00048143824824364856,0.008196270370150187,0.007436911080731079,0.011646560738636388,6.355410252479497,6.3927457690146445
MP,3,4,4,3,0.6,0.015187792188044114,0.23494662724108858,0.18619424535427243,0.34222367362038214,5.787854206897209,5.900897754643822
MP,4,5,5,4,0.6666666666666666,0.017508259387795988,0.25082596823222064,0.19788398018863518,0.4287560820458202,5.236334914122487,5.434882492805477
MP,5,6,6,5,0.7142857142857143,0.018349504457106036,0.24814133906983785,0.19385016616706707,0.49050603411940863,4.626923127563234,5.029223064694328
MP,6,7,7,5,0.5555555555555556,0.027665266287955306,0.35280687320706,0.2168985959704519,0.6699922742611777,4.158219033418463,4.55180302327438
MP,7,8,8,6,0.6,0.03181104558086317,0.3921907908520755,0.17632186390696697,0.6283951177146494,3.703188642312577,4.237665473485228
MP,8,9,9,6,0.5,0.03801757848388933,0.4589703242722314,0.21141432609492503,0.835458161808092,3.3073878021485537,4.02434162286951
MP,9,10,10,7,0.5384615384615384,0.034634950357477,0.4085817008200772,0.1913777771178595,0.8617921852281083,3.066784448292372,3.7699402243519904
MP,10,11,11,7,0.4666666666666667,0.03969128012062326,0.46022620476527404,0.19929079779906836,1.0040777776793741,2.7519496625136664,3.5641004217963825
MP,11,12,12,8,0.5,0.04121452118512156,0.46801543955044816,0.17217422063709925,1.0165437799748454,2.2887480251441046,3.292387970417988
MP,12,13,13,8,0.4444444444444444,0.0465503804458493,0.5196298534771467,0.17906860189227825,1.2347049992202936,1.8995745654802678,3.0466187117138133
MP,13,14,14,10,0.5555555555555556,0.04244898304843498,0.4677926132419838,0.16082081221748823,1.2715271326130035,1.6231046334552293,2.8451049854141055
MP,14,15,15,11,0.5789473684210527,0.03673481406515473,0.40181386176397355,0.14086245549155882,1.2184312543408258,1.2195742587810448,2.7201139579369413
MP,15,16,16,11,0.5238095238095238,0.04065668566333414,0.4415324228373193,0.13095955752068686,1.2463393146162096,0.791726923133506,2.5932264295647967
