algorithm,x_seed,measurement_snr_db,mu_shift,mse,snr_db,support_overlap
OMP,87,20,3,4.0532125240e-05,25.9664,8/8
GOMP,13,20,3,1.1781348803e-05,29.8917,8/8
CoSaMP,77,20,3,3.3424969843e-05,27.0267,8/8
SP,48,20,3,3.5556327930e-05,27.3494,8/8
IHT,101,20,3,6.8817093052e-05,23.0136,8/8
HTP,20,20,3,1.1240316780e-05,29.8499,8/8
GP,369,20,3,7.4226524703e-05,23.0245,8/8
MP,140,20,3,1.4503407056e-04,18.3098,8/8
