algorithm,x_seed,measurement_snr_db,mu_shift,mse,snr_db,support_overlap
OMP,52,20,3,1.5049960000e-4,22.9600,16/16
GOMP,13,20,3,4.9466270000e-5,26.7500,16/16
CoSaMP,77,20,3,1.1034630000e-4,25.0100,16/16
SP,48,20,3,1.1431670000e-4,24.9100,16/16
IHT,66,20,3,1.9260420000e-4,23.0600,16/16
HTP,20,20,3,1.2937110000e-4,22.4700,16/16
GP,77,20,3,1.1034630000e-4,25.0100,16/16
MP,140,20,3,8.0182910000e-4,14.4200,16/16
