algorithm,x_seed,measurement_snr_db,mu_shift,mse,snr_db,support_overlap
OMP,52,20,3,1.5049956983e-04,22.9566,16/16
GOMP,13,20,3,4.9466267228e-05,26.7527,16/16
CoSaMP,77,20,3,3.7554986837e-02,-0.3122,5/16
SP,48,20,3,3.0659315672e-02,0.6213,5/16
IHT,66,20,3,1.9260422869e-04,23.0636,16/16
HTP,20,20,3,1.2937109204e-04,22.4685,16/16
GP,77,20,3,2.2729174172e-02,1.8686,7/16
MP,140,20,3,8.0182912006e-04,14.4175,16/16
