trial,x_seed,noise_seed,noise_snr_db,algorithm,mse,nmse,snr_db,support_overlap,support_exact,success
0,20260711,2027071101,10,OMP,7.188275259917584e-05,0.004697468815126364,23.281360943489894,8,1,1
0,20260711,2027071101,10,GOMP,7.188275259917588e-05,0.004697468815126366,23.281360943489894,8,1,1
0,20260711,2027071101,10,CoSaMP,7.188275259917573e-05,0.004697468815126357,23.2813609434899,8,1,1
0,20260711,2027071101,10,SP,7.188275259917572e-05,0.004697468815126356,23.2813609434899,8,1,1
0,20260711,2027071101,10,IHT,6.164295656647568e-05,0.00402830798311038,23.948773329912814,8,1,1
0,20260711,2027071101,10,HTP,7.188275259917586e-05,0.0046974688151263655,23.281360943489894,8,1,1
0,20260711,2027071101,10,GP,6.164295656647568e-05,0.00402830798311038,23.948773329912814,8,1,1
0,20260711,2027071101,10,MP,0.001790397869183568,0.11700078048005816,9.318112411850183,8,1,0
1,20260712,2027071102,10,OMP,9.39592154886705e-05,0.006804946418716985,21.671752900267244,8,1,1
1,20260712,2027071102,10,GOMP,9.395921548867032e-05,0.006804946418716972,21.67175290026725,8,1,1
1,20260712,2027071102,10,CoSaMP,9.395921548867039e-05,0.006804946418716977,21.671752900267247,8,1,1
1,20260712,2027071102,10,SP,9.395921548867051e-05,0.006804946418716986,21.671752900267244,8,1,1
1,20260712,2027071102,10,IHT,0.00010154957442820796,0.007354674144877172,21.334365642983432,8,1,1
1,20260712,2027071102,10,HTP,0.004027569084805818,0.29169455787005105,5.35071673411878,6,0,0
1,20260712,2027071102,10,GP,0.00010154957442820796,0.007354674144877172,21.334365642983432,8,1,1
1,20260712,2027071102,10,MP,0.0017353146411657756,0.1256792438222526,9.007364409917223,8,1,0
2,20260713,2027071103,10,OMP,7.572607236065273e-05,0.005726655232052988,22.42098962394622,8,1,1
2,20260713,2027071103,10,GOMP,7.572607236065267e-05,0.0057266552320529825,22.42098962394622,8,1,1
2,20260713,2027071103,10,CoSaMP,7.572607236065283e-05,0.005726655232052995,22.420989623946213,8,1,1
2,20260713,2027071103,10,SP,7.572607236065272e-05,0.005726655232052987,22.42098962394622,8,1,1
2,20260713,2027071103,10,IHT,9.83341422222314e-05,0.007436352005217481,21.28640060763332,8,1,1
2,20260713,2027071103,10,HTP,7.57260723606528e-05,0.005726655232052993,22.420989623946216,8,1,1
2,20260713,2027071103,10,GP,9.83341422222314e-05,0.007436352005217481,21.28640060763332,8,1,1
2,20260713,2027071103,10,MP,0.001148980863732532,0.08688972066959515,10.61031598931425,8,1,0
3,20260714,2027071104,10,OMP,0.0007790995432368525,0.03421515627644298,14.657814720393832,7,0,0
3,20260714,2027071104,10,GOMP,0.004570058505300309,0.20069998411461165,6.974526618868881,7,0,0
3,20260714,2027071104,10,CoSaMP,0.0002100253137119931,0.009223531181663382,20.351027796933003,8,1,1
3,20260714,2027071104,10,SP,0.00021002531371199304,0.009223531181663379,20.351027796933007,8,1,1
3,20260714,2027071104,10,IHT,0.014634014056448416,0.6426715074338422,1.9201095392273397,4,0,0
3,20260714,2027071104,10,HTP,0.00021002531371199317,0.009223531181663386,20.351027796933003,8,1,1
3,20260714,2027071104,10,GP,0.014634014056448416,0.6426715074338422,1.9201095392273397,4,0,0
3,20260714,2027071104,10,MP,0.004862816786083144,0.2135568397181867,6.70486514593994,8,1,0
4,20260715,2027071105,10,OMP,0.0002649928594937219,0.01895916971306188,17.22180685823439,8,1,0
4,20260715,2027071105,10,GOMP,0.0011260927072274057,0.08056738883362817,10.93840711489661,7,0,0
4,20260715,2027071105,10,CoSaMP,0.00026499285949372194,0.018959169713061882,17.221806858234388,8,1,0
4,20260715,2027071105,10,SP,0.00026499285949372177,0.01895916971306187,17.22180685823439,8,1,0
4,20260715,2027071105,10,IHT,0.0002710385417088493,0.019391713878088922,17.123838054182972,8,1,0
4,20260715,2027071105,10,HTP,0.0016933682062023488,0.12115366153424262,9.166634559789127,7,0,0
4,20260715,2027071105,10,GP,0.0002710385417088493,0.019391713878088922,17.123838054182972,8,1,0
4,20260715,2027071105,10,MP,0.002608593212407839,0.18663431732036237,7.290084974996718,8,1,0
5,20260716,2027071106,10,OMP,0.008806791623288896,0.7092991028265797,1.491705894785693,4,0,0
5,20260716,2027071106,10,GOMP,0.00010579648381317309,0.008520850073532937,20.695170761454573,8,1,1
5,20260716,2027071106,10,CoSaMP,0.00010579648381317323,0.008520850073532947,20.69517076145457,8,1,1
5,20260716,2027071106,10,SP,0.00010579648381317338,0.00852085007353296,20.695170761454563,8,1,1
5,20260716,2027071106,10,IHT,0.0011914815600576013,0.09596193911848926,10.179009847564071,7,0,0
5,20260716,2027071106,10,HTP,0.0011777654904690077,0.09485724670953419,10.22929485168121,7,0,0
5,20260716,2027071106,10,GP,0.0011914815600576013,0.09596193911848926,10.179009847564071,7,0,0
5,20260716,2027071106,10,MP,0.003267145611688657,0.2631359466989563,5.798198193919881,7,0,0
6,20260717,2027071107,10,OMP,0.0002367389791059685,0.015457497726693123,18.108608087000043,8,1,0
6,20260717,2027071107,10,GOMP,0.0011426714165787663,0.0746089253693085,11.272092153319468,7,0,0
6,20260717,2027071107,10,CoSaMP,0.00023673897910596884,0.015457497726693145,18.108608087000036,8,1,0
6,20260717,2027071107,10,SP,0.0019446225006037325,0.12697105477042528,8.962952726364232,6,0,0
6,20260717,2027071107,10,IHT,0.0017120301620546841,0.1117843053895435,9.516191674798849,6,0,0
6,20260717,2027071107,10,HTP,0.0017042874807488,0.11127875924274423,9.535877253689364,6,0,0
6,20260717,2027071107,10,GP,0.0017120301620546841,0.1117843053895435,9.516191674798849,6,0,0
6,20260717,2027071107,10,MP,0.002326253089976091,0.1518890213424585,8.184736161484128,8,1,0
7,20260718,2027071108,10,OMP,0.00023298520014363325,0.013805689267213095,18.59941905759634,8,1,0
7,20260718,2027071108,10,GOMP,0.0022388931464073798,0.13266706667521336,8.772368731893717,7,0,0
7,20260718,2027071108,10,CoSaMP,0.0002329852001436334,0.013805689267213104,18.59941905759634,8,1,0
7,20260718,2027071108,10,SP,0.00023298520014363404,0.013805689267213142,18.599419057596325,8,1,0
7,20260718,2027071108,10,IHT,0.00021994695434216413,0.013033099549009282,18.84952287514525,8,1,0
7,20260718,2027071108,10,HTP,0.00023298520014363377,0.013805689267213126,18.599419057596332,8,1,0
7,20260718,2027071108,10,GP,0.00021994695434216413,0.013033099549009282,18.84952287514525,8,1,0
7,20260718,2027071108,10,MP,0.005456393454865806,0.32332213596010745,4.903645607882952,7,0,0
8,20260719,2027071109,10,OMP,8.93019995628978e-05,0.005281218216391719,22.77265887384287,8,1,1
8,20260719,2027071109,10,GOMP,0.00236652624473438,0.13995365808642973,8.540157455294505,6,0,0
8,20260719,2027071109,10,CoSaMP,8.930199956289778e-05,0.005281218216391718,22.77265887384288,8,1,1
8,20260719,2027071109,10,SP,8.93019995628978e-05,0.005281218216391719,22.77265887384287,8,1,1
8,20260719,2027071109,10,IHT,0.0037335592088783547,0.22079842559424087,6.560040276736866,5,0,0
8,20260719,2027071109,10,HTP,0.002423125030624783,0.14330084561339568,8.437512468381893,6,0,0
8,20260719,2027071109,10,GP,0.0037335592088783547,0.22079842559424087,6.560040276736866,5,0,0
8,20260719,2027071109,10,MP,0.001274880302255161,0.07539496437867284,11.22657659641984,8,1,0
9,20260720,2027071110,10,OMP,0.00015249057079540158,0.012608807703596082,18.993259786315456,8,1,0
9,20260720,2027071110,10,GOMP,0.000815149178598449,0.06740127726639791,11.713318734276983,7,0,0
9,20260720,2027071110,10,CoSaMP,0.0008180973264716767,0.06764504728720247,11.697639952907213,7,0,0
9,20260720,2027071110,10,SP,0.0009030282837857682,0.07466763303312715,11.268676156055161,7,0,0
9,20260720,2027071110,10,IHT,0.0001358836383946906,0.011235649900494079,19.494018017463915,8,1,0
9,20260720,2027071110,10,HTP,0.00015249057079540164,0.012608807703596086,18.993259786315452,8,1,0
9,20260720,2027071110,10,GP,0.0001358836383946906,0.011235649900494079,19.494018017463915,8,1,0
9,20260720,2027071110,10,MP,0.0014512193124316633,0.11999525708869307,9.208359194600106,8,1,0
10,20260721,2027071111,10,OMP,0.00023710984315192856,0.01359967264706098,18.664715452537582,8,1,0
10,20260721,2027071111,10,GOMP,0.0002371098431519284,0.013599672647060971,18.664715452537585,8,1,0
10,20260721,2027071111,10,CoSaMP,0.0012425661024167707,0.07126862390261374,11.471016267407352,7,0,0
10,20260721,2027071111,10,SP,0.00023710984315192826,0.013599672647060964,18.66471545253759,8,1,0
10,20260721,2027071111,10,IHT,0.002795886476407281,0.16036087043894,7.94901595064304,6,0,0
10,20260721,2027071111,10,HTP,0.002785913576156351,0.15978886475182252,7.964534887600573,6,0,0
10,20260721,2027071111,10,GP,0.002795886476407281,0.16036087043894,7.94901595064304,6,0,0
10,20260721,2027071111,10,MP,0.001971816812339112,0.1130955291071605,9.465545632661291,8,1,0
11,20260722,2027071112,10,OMP,0.00012762282716794943,0.009904055463927515,20.041869362146866,8,1,1
11,20260722,2027071112,10,GOMP,0.00012762282716794935,0.009904055463927508,20.04186936214687,8,1,1
11,20260722,2027071112,10,CoSaMP,0.0001276228271679495,0.00990405546392752,20.041869362146866,8,1,1
11,20260722,2027071112,10,SP,0.0001276228271679495,0.00990405546392752,20.041869362146866,8,1,1
11,20260722,2027071112,10,IHT,0.0016902843000513382,0.13117300273785595,8.82155539719916,6,0,0
11,20260722,2027071112,10,HTP,0.0016925989308871387,0.1313526275956106,8.815612351058483,6,0,0
11,20260722,2027071112,10,GP,0.0016902843000513382,0.13117300273785595,8.82155539719916,6,0,0
11,20260722,2027071112,10,MP,0.001134842158220061,0.08806841164099623,10.551798363100275,8,1,0
12,20260723,2027071113,10,OMP,0.026112630256221986,1.173466853990612,-0.6947082692798469,2,0,0
12,20260723,2027071113,10,GOMP,0.012238364352182835,0.5499758076237802,2.5965641386316687,5,0,0
12,20260723,2027071113,10,CoSaMP,0.0002353042951472912,0.010574261889653085,19.757499377532316,8,1,0
12,20260723,2027071113,10,SP,0.00023530429514729133,0.01057426188965309,19.757499377532316,8,1,0
12,20260723,2027071113,10,IHT,0.01933275265446235,0.8687881769782652,0.6108609787037173,3,0,0
12,20260723,2027071113,10,HTP,0.019334695667342652,0.8688754933914161,0.6104245186788051,3,0,0
12,20260723,2027071113,10,GP,0.01933275265446235,0.8687881769782652,0.6108609787037173,3,0,0
12,20260723,2027071113,10,MP,0.01956644667007007,0.8792900750483105,0.5586782889589761,4,0,0
13,20260724,2027071114,10,OMP,0.0015902083618733695,0.11297658803912457,9.470115453560732,7,0,0
13,20260724,2027071114,10,GOMP,0.0015902083618733699,0.1129765880391246,9.470115453560732,7,0,0
13,20260724,2027071114,10,CoSaMP,0.00159020836187337,0.11297658803912462,9.47011545356073,7,0,0
13,20260724,2027071114,10,SP,0.0003349366319785482,0.023795622509288232,16.23502929284535,8,1,0
13,20260724,2027071114,10,IHT,0.0010333077593888704,0.07341150244775496,11.342358875197188,7,0,0
13,20260724,2027071114,10,HTP,0.0011348427428932838,0.08062507035367626,10.935298933898533,7,0,0
13,20260724,2027071114,10,GP,0.0010333077593888704,0.07341150244775496,11.342358875197188,7,0,0
13,20260724,2027071114,10,MP,0.003002226824657794,0.21329364836806347,6.710220771327223,7,0,0
14,20260725,2027071115,10,OMP,0.00022605803912150384,0.01761520753604465,17.541122357510876,8,1,0
14,20260725,2027071115,10,GOMP,0.00022605803912150384,0.01761520753604465,17.541122357510876,8,1,0
14,20260725,2027071115,10,CoSaMP,0.00022605803912150392,0.017615207536044657,17.541122357510876,8,1,0
14,20260725,2027071115,10,SP,0.00022605803912150398,0.01761520753604466,17.541122357510872,8,1,0
14,20260725,2027071115,10,IHT,0.0013245454550230218,0.10321306498024801,9.862653250954862,7,0,0
14,20260725,2027071115,10,HTP,0.0013050104375936487,0.10169083030292385,9.927182066483892,7,0,0
14,20260725,2027071115,10,GP,0.0013245454550230218,0.10321306498024801,9.862653250954862,7,0,0
