alg,opt,xMSE_vs_ref,xSNR_vs_ref,resMSE,resNorm,overlap,suppLen,support
GP,"{""mu"":1,""refine"":false}",7866.280165321916,-50.427465066946,9275.750273466176,770.4855725461932,0,16,"3 12 18 28 36 37 44 45 46 50 56 57 58 60 63 64"
GP,"{""mu"":1,""refine"":true}",0.05902998137571558,0.8195025728172994,0.9680707961924782,7.871247102989373,7,16,"32 37 38 73 82 84 120 149 165 169 171 182 209 231 239 243"
GP,"{""mu"":0.5,""refine"":false}",6853.60456086748,-49.828961394221444,9781.9039955736,791.2280680794321,1,16,"1 16 22 33 37 38 40 48 55 57 60 65 75 78 79 82"
GP,"{""mu"":0.5,""refine"":true}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
GP,"{""mu"":0.25,""refine"":false}",459.37369096308976,-38.091432153785014,2498.3032231187317,399.86423480926476,1,16,"9 23 46 50 81 107 115 143 151 163 195 206 211 216 246 255"
GP,"{""mu"":0.25,""refine"":true}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
GP,"{""mu"":0.125,""refine"":false}",0.1936696662360191,-4.340387006254616,0.7042815111963137,6.713718546123607,9,16,"14 38 66 74 82 87 89 91 143 149 168 174 182 207 231 239"
GP,"{""mu"":0.125,""refine"":true}",0.004861842378886649,11.662220285885855,0.022560009030712536,1.2015991752517152,14,16,"38 42 74 87 91 107 147 149 151 165 168 174 182 209 231 239"
GP,"{""mu"":0.0625,""refine"":false}",0.17271993084068527,-3.843195519483861,0.39521030811738456,5.029260355113126,11,16,"38 62 66 74 87 91 107 108 147 149 165 168 173 174 221 231"
GP,"{""mu"":0.0625,""refine"":true}",0.00594316586284549,10.790050526918302,0.032081859182653716,1.432912763461139,13,16,"30 38 42 67 74 87 91 107 147 149 151 168 174 182 209 231"
GP,"{""mu"":0.03125,""refine"":false}",0.13719072309777403,-2.843018416826461,0.26337868694463396,4.105634660373055,11,16,"18 30 38 66 74 87 91 147 149 161 168 174 182 207 209 231"
GP,"{""mu"":0.03125,""refine"":true}",0.02056010252363194,5.3999762752819365,0.18790816894033924,3.4678700685264596,9,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
GP,"{""mu"":0.015625,""refine"":false}",0.08988971138569468,-1.0068708253372392,0.16572598569837282,3.25675652831093,12,16,"38 66 74 84 87 91 107 108 147 149 161 168 174 182 231 243"
GP,"{""mu"":0.015625,""refine"":true}",0.02056010252363194,5.3999762752819365,0.18790816894033924,3.4678700685264596,9,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
GP,"{""mu"":0.0078125,""refine"":false}",0.05950171271342697,0.784934367220923,0.33605392420940916,4.637612656249138,11,16,"36 38 74 82 84 87 91 107 108 147 165 168 174 231 239 243"
GP,"{""mu"":0.0078125,""refine"":true}",0.02056010252363194,5.3999762752819365,0.18790816894033924,3.4678700685264596,9,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
GP,"{""mu"":0.00390625,""refine"":false}",0.05171948635143053,1.393687004170493,0.6391319817412295,6.395658436114196,10,16,"8 38 59 66 74 84 87 91 107 108 147 151 168 174 231 239"
GP,"{""mu"":0.00390625,""refine"":true}",0.02056010252363194,5.3999762752819365,0.18790816894033924,3.4678700685264596,9,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
CoSaMP,"{""pick"":4}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
CoSaMP,"{""pick"":8}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
CoSaMP,"{""pick"":16}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
CoSaMP,"{""pick"":32}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
CoSaMP,"{""pick"":48}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
CoSaMP,"{""pick"":64}",0.11042871151676081,-1.9005910136316961,0.710472742543061,6.743163613820735,2,16,"5 13 22 27 44 68 108 137 156 160 173 186 209 217 231 244"
SP,"{""pick"":4}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
SP,"{""pick"":8}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
SP,"{""pick"":16}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
SP,"{""pick"":24}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
SP,"{""pick"":32}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
