alg,opt,resNorm,resMSE,resSNR,suppLen,support
GP,"{""shift"":5,""refine"":true}",3.4678700685264596,0.18790816894033924,9.24262920634031,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
GP,"{""shift"":5,""refine"":false}",4.105670451189717,0.2633832789651933,7.7762038117585295,16,"18 30 38 66 74 87 91 147 149 161 168 174 182 207 209 231"
GP,"{""shift"":6,""refine"":true}",3.4678700685264596,0.18790816894033924,9.24262920634031,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
GP,"{""shift"":6,""refine"":false}",3.2567822890531324,0.16572860747328377,9.788111000144086,16,"38 66 74 84 87 91 107 108 147 149 161 168 174 182 231 243"
GP,"{""shift"":7,""refine"":true}",3.4678700685264596,0.18790816894033924,9.24262920634031,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
GP,"{""shift"":7,""refine"":false}",4.637608884281983,0.33605337755579967,6.718003165468808,16,"36 38 74 82 84 87 91 107 108 147 165 168 174 231 239 243"
GP,"{""shift"":8,""refine"":true}",3.4678700685264596,0.18790816894033924,9.24262920634031,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
GP,"{""shift"":8,""refine"":false}",6.400154124987878,0.6400308253687399,3.9200769013168917,16,"8 38 59 74 84 87 91 107 108 147 151 168 174 207 231 239"
CoSaMP,"{""pick"":8,""cap"":16}",4.217999996274072,0.2779925620088761,7.541754051928499,16,"0 1 2 3 4 5 6 7 74 91 107 108 147 168 174 231"
CoSaMP,"{""pick"":8,""cap"":24}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
CoSaMP,"{""pick"":8,""cap"":32}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
CoSaMP,"{""pick"":16,""cap"":16}",3.4678700685264596,0.18790816894033924,9.24262920634031,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
CoSaMP,"{""pick"":16,""cap"":24}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
CoSaMP,"{""pick"":16,""cap"":32}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
CoSaMP,"{""pick"":24,""cap"":16}",3.4678700685264596,0.18790816894033924,9.24262920634031,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
CoSaMP,"{""pick"":24,""cap"":24}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
CoSaMP,"{""pick"":24,""cap"":32}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
CoSaMP,"{""pick"":32,""cap"":16}",3.4678700685264596,0.18790816894033924,9.24262920634031,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
CoSaMP,"{""pick"":32,""cap"":24}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
CoSaMP,"{""pick"":32,""cap"":32}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
SP,"{""pick"":4,""cap"":16}",5.232253000902528,0.427757366647711,5.6701108374408635,16,"0 1 2 3 4 5 6 7 8 9 10 11 74 168 174 231"
SP,"{""pick"":4,""cap"":24}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
SP,"{""pick"":4,""cap"":32}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
SP,"{""pick"":8,""cap"":16}",4.217999996274072,0.2779925620088761,7.541754051928499,16,"0 1 2 3 4 5 6 7 74 91 107 108 147 168 174 231"
SP,"{""pick"":8,""cap"":24}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
SP,"{""pick"":8,""cap"":32}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
SP,"{""pick"":16,""cap"":16}",3.4678700685264596,0.18790816894033924,9.24262920634031,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
SP,"{""pick"":16,""cap"":24}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
SP,"{""pick"":16,""cap"":32}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
SP,"{""pick"":24,""cap"":16}",3.4678700685264596,0.18790816894033924,9.24262920634031,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
SP,"{""pick"":24,""cap"":24}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
SP,"{""pick"":24,""cap"":32}",0,0,3020.0438855523253,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
