Algorithm,MSE,SNR_dB,SupportOverlap,NNZ
OMP,0.07120335940689301,-2.1589730936809626,2,16
GOMP,0.026983984877857175,2.0549709016592375,9,16
CoSaMP,6.059982020747386e-05,28.54131839295754,16,16
SP,0.025179347686836447,2.355587001715762,9,16
IHT,0.025708898734304226,2.2651970134886286,9,16
HTP,0.023397896794292022,2.674263539500346,9,16
GP,0.0311699982572767,1.4286639696808123,7,16
MP,0.046903633258896536,-0.3460331046329783,5,48
