Algorithm,Iter,Cycles,NNZ,MSE_vs_panel_ref,SNR_vs_panel_ref_dB
OMP,8,87629,8,0.1257870819299569,-0.7924491360188847
CoSaMP,8,270170,8,0.11768185329674452,-0.503183705381092
IHT,16,164093,8,0.11393696373852435,-0.3627351326838083
HTP,32,491761,8,0.11493176639942249,-0.4004895281233522
SP,8,275304,8,0.13392018731883581,-1.0645491944933632
GP,16,164994,8,0.11998015134486195,-0.5871827676460616
GOMP,4,47129,8,0.1210017953399074,-0.6240068545855206
MP,32,262401,25,0.11323842609272106,-0.33602695788376336
