Algorithm,MSE,SNR_dB,SupportOverlap,NNZ,seed,mu_iht,mu_gp
OMP,2.283424364062213e-06,40.568300549626926,8,8,78,0.26,0.26
GOMP,2.283424364062215e-06,40.568300549626926,8,8,78,0.26,0.26
CoSaMP,5.815884147378452e-06,36.508009388382085,8,8,78,0.26,0.26
SP,2.283424364062235e-06,40.56830054962688,8,8,78,0.26,0.26
IHT,2.1089017102803784e-06,40.91360346593737,8,8,78,0.26,0.26
HTP,2.2834243640621984e-06,40.568300549626954,8,8,78,0.26,0.26
GP,2.1089017102803784e-06,40.91360346593737,8,8,78,0.26,0.26
MP,2.4886192943681755e-05,30.19458221709391,8,22,78,0.26,0.26
